no,username,region,Weapon,kills,headshot(%)
0,100T bang#0000,na, Phantom ,"34,649",47.00%
1,100T bang#0000,na, Vandal ,"20,304",53.20%
2,100T bang#0000,na, Spectre ,"5,121",33.50%
3,turtle pete#2143,na, Vandal ,"40,520",42.00%
4,turtle pete#2143,na, Phantom ,"13,787",34.20%
5,turtle pete#2143,na, Operator ,"10,610",8.00%
6,twitch ion2x#2009,na, Vandal ,"29,762",43.40%
7,twitch ion2x#2009,na, Phantom ,"12,631",37.50%
8,twitch ion2x#2009,na, Operator ,"4,099",10.10%
9,icy#4444,na, Vandal ,"22,791",40.00%
10,icy#4444,na, Phantom ,"7,936",34.70%
11,icy#4444,na, Spectre ,"4,091",25.40%
12,FURIA mwzera#2001,na, Vandal ,"19,641",30.00%
13,FURIA mwzera#2001,na, Phantom ,"6,839",26.70%
14,FURIA mwzera#2001,na, Sheriff ,"2,621",46.40%
15,FURIA kon4n#DTJ,na, Vandal ,"24,535",38.50%
16,FURIA kon4n#DTJ,na, Phantom ,"8,076",34.60%
17,FURIA kon4n#DTJ,na, Ghost ,"4,479",42.40%
18,FaZe babybay#1313,na, Vandal ,"13,606",35.30%
19,FaZe babybay#1313,na, Phantom ,"5,870",29.20%
20,FaZe babybay#1313,na, Operator ,"3,644",7.20%
21,ange#ratio,na, Vandal ,"13,823",37.70%
22,ange#ratio,na, Phantom ,"8,560",31.60%
23,ange#ratio,na, Ghost ,"2,059",39.40%
24,SR mada#4565,na, Vandal ,"27,933",45.10%
25,SR mada#4565,na, Phantom ,"11,293",38.00%
26,SR mada#4565,na, Ghost ,"3,870",48.30%
27,000000#0001,na, Vandal ,"17,387",36.50%
28,000000#0001,na, Operator ,"4,852",8.30%
29,000000#0001,na, Sheriff ,"3,038",49.50%
30,100T Asuna#1111,na, Vandal ,"22,128",36.00%
31,100T Asuna#1111,na, Phantom ,"19,979",30.90%
32,100T Asuna#1111,na, Ghost ,"3,944",39.70%
33,alvin#NO1,na, Vandal ,"38,275",39.10%
34,alvin#NO1,na, Phantom ,"12,872",33.40%
35,alvin#NO1,na, Sheriff ,"4,762",56.70%
36,ZexRow#NA2,na, Vandal ,"36,384",41.00%
37,ZexRow#NA2,na, Phantom ,"12,011",32.90%
38,ZexRow#NA2,na, Spectre ,"6,256",22.30%
39,micknutty#333,na, Vandal ,"44,811",37.40%
40,micknutty#333,na, Phantom ,"26,138",31.40%
41,micknutty#333,na, Spectre ,"6,475",21.10%
42,G2 LFT OXY#LIVE,na, Vandal ,"32,128",45.40%
43,G2 LFT OXY#LIVE,na, Phantom ,"14,828",38.40%
44,G2 LFT OXY#LIVE,na, Operator ,"5,842",7.00%
45,LEV Mazino#если,na, Vandal ,"9,285",35.70%
46,LEV Mazino#если,na, Phantom ,"7,960",32.50%
47,LEV Mazino#если,na, Spectre ,"1,506",24.90%
48,infiltrator#000,na, Vandal ,"54,440",44.50%
49,infiltrator#000,na, Phantom ,"16,967",36.90%
50,infiltrator#000,na, Operator ,"9,967",9.50%
51,curry#66666,na, Vandal ,"28,844",40.10%
52,curry#66666,na, Phantom ,"14,381",32.30%
53,curry#66666,na, Spectre ,"4,098",25.50%
54,N4RRATE#RANK1,na, Vandal ,"18,688",33.50%
55,N4RRATE#RANK1,na, Phantom ,"5,576",29.90%
56,N4RRATE#RANK1,na, Operator ,"3,481",7.30%
57,Drink Water#5252,na, Vandal ,"16,251",39.20%
58,Drink Water#5252,na, Phantom ,"13,701",27.30%
59,Drink Water#5252,na, Spectre ,"3,564",20.60%
60,SEN Sacy#moba,na, Vandal ,"16,582",41.00%
61,SEN Sacy#moba,na, Phantom ,"12,383",37.00%
62,SEN Sacy#moba,na, Ghost ,"2,719",43.70%
63,Smoke#jamon,na, Vandal ,"20,101",38.20%
64,Smoke#jamon,na, Phantom ,"13,045",32.70%
65,Smoke#jamon,na, Operator ,"11,148",6.60%
66,max#285x1,na, Vandal ,"12,647",35.70%
67,max#285x1,na, Phantom ,"4,271",34.40%
68,max#285x1,na, Operator ,"2,652",9.30%
69,Lumizzy#lol,na, Vandal ,"20,378",39.30%
70,Lumizzy#lol,na, Phantom ,"7,765",34.40%
71,Lumizzy#lol,na, Operator ,"4,556",5.80%
72,beeb#13TH,na, Vandal ,"14,043",34.70%
73,beeb#13TH,na, Phantom ,"6,820",29.30%
74,beeb#13TH,na, Operator ,"2,601",5.90%
75,Playboi Joe#777,na, Vandal ,"24,328",35.60%
76,Playboi Joe#777,na, Phantom ,"9,764",31.90%
77,Playboi Joe#777,na, Spectre ,"3,194",26.40%
78,dogo#zero,na, Vandal ,"14,975",42.10%
79,dogo#zero,na, Phantom ,"2,240",31.40%
80,dogo#zero,na, Sheriff ,"1,606",56.20%
81,LEV Shyy#aña,na, Vandal ,"18,625",36.10%
82,LEV Shyy#aña,na, Phantom ,"6,050",32.50%
83,LEV Shyy#aña,na, Spectre ,"2,526",24.40%
84,aika#1558,na, Vandal ,"26,413",35.20%
85,aika#1558,na, Phantom ,"10,318",29.10%
86,aika#1558,na, Spectre ,"4,857",23.80%
87,OR nillyaz#sosa,na, Phantom ,"17,682",37.50%
88,OR nillyaz#sosa,na, Vandal ,"17,054",40.80%
89,OR nillyaz#sosa,na, Spectre ,"5,600",30.30%
90,cletus#21,na, Vandal ,"6,114",41.50%
91,cletus#21,na, Phantom ,"3,659",36.30%
92,cletus#21,na, Ghost ,"1,070",49.30%
93,Sonee#000,na, Vandal ,"18,385",44.20%
94,Sonee#000,na, Phantom ,"5,199",35.40%
95,Sonee#000,na, Sheriff ,"3,075",57.20%
96,GUARD trent#Habib,na, Vandal ,"29,531",41.50%
97,GUARD trent#Habib,na, Phantom ,"22,142",35.90%
98,GUARD trent#Habib,na, Spectre ,"4,645",26.20%
99,Turtle Matt#0702,na, Vandal ,"38,052",42.80%
100,Turtle Matt#0702,na, Phantom ,"19,016",35.10%
101,Turtle Matt#0702,na, Sheriff ,"5,746",60.80%
102,WhoFramedMe#117,na, Vandal ,"40,348",43.30%
103,WhoFramedMe#117,na, Operator ,"8,836",7.90%
104,WhoFramedMe#117,na, Phantom ,"8,563",32.70%
105,evy#KAIDO,na, Vandal ,"28,391",46.80%
106,evy#KAIDO,na, Phantom ,"10,028",37.50%
107,evy#KAIDO,na, Ghost ,"3,709",47.50%
108,G2 ShahZaM#joona,na, Vandal ,"43,227",37.20%
109,G2 ShahZaM#joona,na, Operator ,"25,826",10.20%
110,G2 ShahZaM#joona,na, Phantom ,"18,220",32.00%
111,furbsa#cam,na, Vandal ,"27,599",45.40%
112,furbsa#cam,na, Phantom ,"7,253",37.30%
113,furbsa#cam,na, Sheriff ,"4,501",59.10%
114,curry#22222,na, Vandal ,"11,378",39.90%
115,curry#22222,na, Phantom ,"5,540",32.90%
116,curry#22222,na, Ghost ,"1,587",46.00%
117,CANEZERAAAAAAAAA#AHAHA,na, Vandal ,"36,136",34.80%
118,CANEZERAAAAAAAAA#AHAHA,na, Phantom ,"21,473",28.90%
119,CANEZERAAAAAAAAA#AHAHA,na, Classic ,"5,883",29.20%
120,mizu#asd,na, Vandal ,"22,889",55.20%
121,mizu#asd,na, Phantom ,"7,748",44.10%
122,mizu#asd,na, Sheriff ,"3,295",66.50%
123,geeza#demon,na, Vandal ,"32,899",49.30%
124,geeza#demon,na, Phantom ,"9,831",39.40%
125,geeza#demon,na, Sheriff ,"6,643",63.40%
126,Jerrwin#freak,na, Vandal ,"29,100",34.80%
127,Jerrwin#freak,na, Phantom ,"13,157",29.70%
128,Jerrwin#freak,na, Operator ,"5,998",8.80%
129,Korsonix#meow,na, Vandal ,"20,518",36.90%
130,Korsonix#meow,na, Phantom ,"10,077",31.50%
131,Korsonix#meow,na, Ghost ,"3,009",43.00%
132,SR mOoSeRRr98#E30,na, Vandal ,"24,233",41.30%
133,SR mOoSeRRr98#E30,na, Phantom ,"16,729",34.00%
134,SR mOoSeRRr98#E30,na, Sheriff ,"3,042",58.00%
135,πKA Slammed#MSU,na, Vandal ,"32,710",39.30%
136,πKA Slammed#MSU,na, Phantom ,"16,745",33.80%
137,πKA Slammed#MSU,na, Judge ,"4,970",9.80%
138,nieSoW#143,na, Vandal ,"28,649",39.70%
139,nieSoW#143,na, Phantom ,"13,667",31.80%
140,nieSoW#143,na, Sheriff ,"4,237",52.50%
141,BRKA Dasnerth#TTV,na, Judge ,"65,041",10.10%
142,BRKA Dasnerth#TTV,na, Vandal ,"9,333",36.30%
143,BRKA Dasnerth#TTV,na, Shorty ,"8,102",11.90%
144,Dark3st#7489,na, Vandal ,"38,065",39.00%
145,Dark3st#7489,na, Phantom ,"7,217",35.70%
146,Dark3st#7489,na, Ghost ,"4,300",42.10%
147,MIBR rglmeister#Venux,na, Vandal ,"17,023",30.00%
148,MIBR rglmeister#Venux,na, Phantom ,"5,565",27.30%
149,MIBR rglmeister#Venux,na, Spectre ,"2,222",24.30%
150,OR zeldris#han,na, Vandal ,"18,452",39.90%
151,OR zeldris#han,na, Operator ,"6,847",7.40%
152,OR zeldris#han,na, Phantom ,"5,549",33.80%
153,RICEBALLINNN#ani,na, Vandal ,"50,289",34.70%
154,RICEBALLINNN#ani,na, Phantom ,"15,247",32.00%
155,RICEBALLINNN#ani,na, Classic ,"7,843",27.80%
156,smiley#bink,na, Vandal ,"18,441",34.80%
157,smiley#bink,na, Phantom ,"15,967",30.00%
158,smiley#bink,na, Spectre ,"5,517",25.10%
159,byelog#XDD,na, Vandal ,"13,321",38.00%
160,byelog#XDD,na, Phantom ,"7,721",32.40%
161,byelog#XDD,na, Spectre ,"1,942",23.40%
162,TTV 1Frog1#TTV,na, Vandal ,"26,650",41.70%
163,TTV 1Frog1#TTV,na, Phantom ,"10,022",34.10%
164,TTV 1Frog1#TTV,na, Operator ,"4,967",7.80%
165,6K Jowzera#025,na, Vandal ,"28,834",52.70%
166,6K Jowzera#025,na, Phantom ,"11,426",43.50%
167,6K Jowzera#025,na, Sheriff ,"6,486",62.40%
168,ANDROIDX#ZPG,na, Vandal ,"26,354",45.20%
169,ANDROIDX#ZPG,na, Phantom ,"6,684",38.10%
170,ANDROIDX#ZPG,na, Ghost ,"3,115",47.90%
171,chloric#sadie,na, Vandal ,"15,581",32.70%
172,chloric#sadie,na, Phantom ,"11,534",26.90%
173,chloric#sadie,na, Spectre ,"3,124",22.20%
174,TSM Kanpeki#meg,na, Vandal ,"26,105",36.70%
175,TSM Kanpeki#meg,na, Phantom ,"9,922",32.10%
176,TSM Kanpeki#meg,na, Operator ,"5,171",9.20%
177,Ali#owbot,na, Vandal ,"22,949",37.50%
178,Ali#owbot,na, Phantom ,"5,756",33.90%
179,Ali#owbot,na, Ghost ,"3,223",37.70%
180,panda#WTF,na, Vandal ,"18,693",41.50%
181,panda#WTF,na, Phantom ,"9,443",35.40%
182,panda#WTF,na, Operator ,"4,044",11.10%
183,zero cap#jenny,na, Vandal ,"38,117",40.70%
184,zero cap#jenny,na, Phantom ,"13,539",33.50%
185,zero cap#jenny,na, Sheriff ,"7,387",57.30%
186,vora#xyz,na, Vandal ,"45,583",41.50%
187,vora#xyz,na, Phantom ,"21,751",34.40%
188,vora#xyz,na, Spectre ,"6,778",24.80%
189,Smrty#Raze,na, Vandal ,"12,651",34.00%
